250
208/7
484
256
92
544
117/3
132
507/1
27
377
77
107
537
102/1
369
212/2
210/11
84
480
89
488/6
382/13
302/1
585/1
103
332/3
267/3
391
21
627
50/1
189
303
68
411/11
411/16
298/1
385
384/2
508/1
108
31/2
121/2
130/7
136/12
17/3
303
331/1
1/7
80/5
234
47/1
269/3
462
16/16
38/2
325
254/4
347/2
177/6
135
202
557
234/1
513
146/2
930
134
205/5
201/3
260/2
103
177/1
82
346
99/1
60/2
774
6/13
240/1
409/1
4/2
430
337/1
126
269/1
179
742
33
58/1
671/1
298/7
422
340/4
325
217/6
50/2
234/1
257/10
264
311
24/10
40/3
98/1
276/12
89
326
62/7
21
82/1
489/1
391
479/2
505/6
44/3
816/1
610/2
761
813
339/1
133
521
113/30
343
392
91/2
593
20
160/19
166/17
153
81
100/1
113/66
481
174/9
311
374
474
218
77/3
26
466
475
279/6
116/3
257
345/7
31/3
149
156/1
67
339/2
243
241
786
657
500/5
342
345/1
567
525/2
340
212/4
569
533
535
536
273
345/3
450
48/9
442
653
253/1
465/1
111
383
159/7
198/2
199
476
486/2
638
129
432/1
31/8
829/14
551
549
311/3
711
204
141/2
553
461/2
323
327
475
442
287
8/3
46
176/1
239
671
313/4
733
81/11
261
437
145
16/3
210/1
52/2
187/24
159/2
126
177
40
49
82/1
123/2
180
379/1
74/3
152/1
371
370
25
188
101
52
629
36
603/10
114
456/1
775/2
532
734/1
55/1
66/1
16/6
640/2
126/1
73/4
80/1
468
363/2
146/1
298
435
187/33
379/3
88/1
219/7
165
190
411/13
216/2
427
186/6
454
289
452
616
187/10
277
101/1
773
712
181
288/3
37/1
37/4
190/14
70
82/2
113/64
149
119/1
781
224/2
526
94/4
1/1
276/6
50/3
118/3
103/20
377/19
424
469
157/5
186/3
354/6
643/2
271/6
489
162/2
142
478/8
691/2
438
134/1
88/6
75
349
355/1
305
485/16
264
197
574
265/1
189
279/3
150
428
321
163/1
371
332
96
356
170/2
51/2
263
201
206/21
125/2
291/3
261
183
190/26
70/1
774/2
471/1
228
296
232
747
248
663
512
129/7
500
9
316
240
232/4
113/50
96/1
546/60
295/1
1/268
486
503
498
190/21
199/2
462
89
185/6
201/13
305
153
591
59/7
638/2
278
334
407
58/1
322/13
558/5
185
508
165/4
171/4
172/3
143
303
336
315/1
483/1
388
372/1
382/21
649/4
541
16
100/6
573/3
371/1
187
76
468/17
98
101
359
67/1
562
201
567
411/15
457
276
595
174
119
279/1
421
64/2
749
113/1
318/10
217/1
241/1
39/5
59/5
114/2
56
140/6
74/11
336/1
209
40
134/2
566
168/9
437
506
79
219
289
556/2
145
755
7
110/3
265
91/8
212/5
193
18/1
444/4
229
187
656
30
278
65
617/6
168/1
335/3
76
364/3
292
366/1
469
197/4
157/3
73/3
428
112/1
203/6
513
13/3
298/1
315
423
221/1
222/2
116
362/2
249
100/1
100/9
25/6
45
261/1
556/12
75/2
276/5
286/4
85/4
723
282
771/2
88
124
514
27
656/4
645/2
42/9
552
497/224
291
164/5
485
433
79
282
214
312
424
506
57
95
199/5
199/7
410/1
206/15
59
300
534
1
81
26/7
277
345/15
615/4
615/2
71/4
771/1
144
498/9
169/1
474
323/1
363/8
212/1
498/11
281/1
264/2
103/8
167/3
40
266
344
345
64
628
633
397
119
900
910
911
222/1
358/4
270
468
414
325/2
618
408/1
698
356/2
184
719
183/1
224
412
347
280
311/8
498/6
736
20
323
829/8
515
33/2
40/2
206/12
823
358/1
321
446
359
183
249
20
330
5/2
179/2
175
32/1
137
58/1
322/12
232/3
226/2
2/4
296
209/1
479/1
508
293
6
34
54/2
213/2
392/5
324
145/4
158
219/6
62/9
358/5
218
474
377
594
403
798/7
699/2
1/1
789
43/4
8
77/6
700/1
377/1
103/4
419/6
68
85
117/4
316
367
271/23
96/2
45
95/5
17/3
87
126/4
51/4
556/3
47/1
26/1
610/2
187/56
913
279/5
565/1
240
93/3
260
268
38
208
101/3
756
776
92/1
63/9
49
113/61
243/2
139/9
98/1
116
115
375/6
402/2
377/5
544
157/9
145
662
233
837/1
94
146
293
358/1
357/2
366/3
366/8
512
326
146
517
697
237
136/2
402/3
276
6/6
187/3
550/11
156
16/11
356/7
291/1
209
293/5
163
834
370
99/1
582/4
395
315/18
296
8
358
275
392/2
102
162/3
106
562
857
500
573/1
518
593/1
505/5
490
233/5
84/7
183/11
457/1
117
182/2
445/1
340/1
563/4
460/5
159/6
459
275
290
20
57
126
448/1
94/9
85/8
142/1
149
59/13
405/1
200
67/2
322/1
325/7
115
190
86
354/20
353/6
329/2
144
163
159/5
486
220/6
220/8
169/7
607/7
340/4
366/4
624
39
402/1
145
84
468/1
460
445
621
143
95/2
16
48/1
408/1
125/2
116/2
426/1
152/8
462/2
316/1
34/4
113
355
249/1
324
80/1
242/3
222/1
201/9
201/8
30/3
210/2
285
319/2
528
115
116
522
51/14
129/1
133
40
239/3
242/9
91/5
257
237/6
221
195
172/5
420
258
186
14
118
46
89
63/5
133
108
119/1
127
653/1
128/1
113/38
28
63
66
105/1
364/2
201/4
30/1
24/5
29/1
36/3
70/6
70/9
